timestamp,ch1,ch2,ch3,ch4,ch5,ch6
1756456631.0001242,-325.89,-374.17,-303.89,-366.93,-283.24,-255.88
1756456631.0046074,-325.62,-374.44,-304.16,-367.46,-282.97,-255.88
1756456631.009087,-325.35,-374.44,-303.09,-366.66,-284.05,-255.61
1756456631.0125058,-325.89,-373.9,-303.63,-366.66,-283.51,-255.35
1756456631.016989,-326.42,-373.9,-303.36,-366.66,-283.51,-255.61
1756456631.0204065,-326.16,-374.17,-302.82,-366.39,-283.24,-255.88
1756456631.0248866,-325.89,-374.7,-303.63,-365.85,-283.51,-255.35
1756456631.0283036,-325.08,-374.17,-303.89,-365.85,-283.51,-255.88
1756456631.0327866,-325.08,-373.9,-304.16,-366.93,-284.85,-255.88
1756456631.0362039,-326.16,-375.51,-304.16,-367.19,-284.31,-255.61
1756456631.040683,-325.89,-375.24,-304.16,-367.46,-284.85,-255.35
1756456631.0440958,-325.89,-375.24,-304.16,-367.19,-284.05,-254.81
1756456631.0485792,-325.62,-374.7,-303.63,-366.93,-284.31,-255.61
1756456631.0530572,-325.08,-374.97,-303.09,-366.39,-282.97,-254.81
1756456631.0564702,-325.62,-374.44,-303.09,-366.12,-282.44,-255.61
1756456631.0609477,-325.62,-373.9,-303.63,-366.12,-282.97,-255.61
1756456631.064364,-325.62,-374.7,-302.82,-366.93,-284.31,-256.42
1756456631.068847,-325.08,-374.44,-303.63,-367.19,-283.51,-255.88
1756456631.0722563,-324.82,-374.7,-303.63,-366.66,-283.78,-254.54
1756456631.0767395,-325.62,-374.7,-302.82,-367.73,-284.31,-254.54
1756456631.0801554,-325.35,-374.7,-303.36,-367.46,-284.05,-255.35
1756456631.084638,-325.62,-374.17,-304.16,-367.19,-284.05,-256.15
1756456631.0891132,-326.42,-373.63,-303.63,-367.46,-282.97,-256.96
1756456631.0925303,-326.42,-373.36,-303.63,-367.46,-283.51,-255.88
1756456631.097013,-325.62,-373.36,-304.16,-367.19,-282.7,-255.35
1756456631.1004295,-325.08,-374.7,-303.09,-366.93,-282.97,-254.54
1756456631.1049087,-325.62,-374.17,-303.09,-365.85,-284.05,-255.88
1756456631.108326,-325.89,-374.17,-302.55,-366.66,-284.05,-256.69
1756456631.112809,-325.89,-374.17,-302.28,-367.19,-283.51,-256.42
1756456631.1162243,-325.08,-374.97,-303.09,-367.19,-282.97,-255.08
1756456631.1207037,-325.08,-375.24,-304.16,-367.46,-284.05,-254.54
1756456631.1241157,-325.89,-374.7,-303.36,-367.46,-284.05,-255.35
1756456631.1285977,-325.35,-374.17,-303.63,-367.19,-284.31,-256.15
1756456631.1330807,-325.08,-374.7,-304.16,-366.39,-284.05,-256.15
1756456631.1364937,-326.16,-373.9,-303.36,-366.66,-283.51,-256.15
1756456631.1409767,-325.08,-374.17,-304.43,-366.12,-282.7,-256.42
1756456631.1443927,-325.62,-373.9,-303.89,-366.93,-284.05,-255.88
1756456631.1488764,-325.89,-373.9,-304.16,-367.46,-284.85,-256.42
